proud-spaceship-120 - average_num_of_new_cells_visited_in_minute,atomic-darkness-117 - average_num_of_new_cells_visited_in_minute,likely-disco-115 - average_num_of_new_cells_visited_in_minute
41,9.64,44.64
38,8.32,37.6
39.88,9.68,30.04
35.12,9.36,32.76
37.88,8.96,34.72
31.68,9.04,25.92
27.8,9.28,34.04
31.68,9,27.4
28.28,8.76,23.92
26.4,8.88,27.92
27.12,8.24,23.96
29.48,8.12,21.56
26.88,7.36,21.48
22.92,9.04,24.4
24.24,6.64,15.44
23.16,8.2,13.08
22.64,7.88,20.6
21.64,7.2,18.76
19.64,8.56,19.88
21,8.76,20.44
21.76,8.2,15.52
19.64,6.68,15.88
17.72,7.48,16.24
20.76,7.4,10.48
20.16,7.12,12.24
16,9.6,14.88
15.72,7.4,15.88
16.12,6.72,18.16
15.88,6.84,11.12
15.08,6.68,11.2
15.4,8.32,11.52
13.44,9.04,14.68
15,7.56,13.12
9.44,9.48,8.08
11.88,7.48,15.92
12.92,8.6,8.28
11.96,7.88,10.56
13.6,7.08,16.48
8.72,8,12.76
13.88,7.72,12
9.44,7.72,15.16
9.08,6.64,7.48
11.96,6.88,9.84
10.16,6.04,8.12
9.8,7.16,10.4
8.84,5.88,7.72
10.64,7.36,10.52
5.92,5.28,9.88
8.32,5.28,11.44
9.92,4.64,11.04
6.36,4.76,7.84
6.6,5.52,8.36
7.92,6,7.76
8.88,3.68,6.28
7.72,6.32,2.92
7.56,7.12,2.64
6.88,6.6,4.52
8,6.68,9.4
6.96,7.92,6.6
7.12,5.96,6.12
5.8,5.48,5.12
5.96,5.68,4.64
5.48,5.4,3.12
5.76,6,8.96
6.48,4.92,8.96
5.4,6.6,4.2
6,3.96,7.12
4.88,6.64,4.6
5.44,6,5.4
3.72,5.2,3.28
4.32,5.6,6.08
4.96,6.08,4.28
4,6.6,5.32
4.36,4.92,8.12
2.4,5.6,4.76
4.72,6.04,2.88
4.52,5.16,2.36
3.88,7.2,2.64
4.24,5.16,2.96
3.76,6.92,7.52
2.88,5.24,2.4
3.48,4.96,3.48
2.48,5.6,4.32
3.32,6.08,3.64
2.28,5.72,1.52
2.84,4.16,1.4
3.2,5.84,2.84
2.76,6,4.24
2.72,6.6,5.96
3.64,5.28,4.08
1.8,6.6,5.92
3.44,5.68,4.88
3.16,6.28,1.2
2.88,4.48,3.68
2.32,4.88,4.64
1.48,5.2,5.88
48.52,9.64,43.52
43.68,9.76,30.44
45.32,11.88,45.4
41.44,8.92,41.36
38.52,9.28,46.88
36.52,9.2,38.16
35.2,7.64,32.68
33.84,7.68,31.2
32,7.6,34.84
33.64,8.72,24.12
29.72,7.8,28.08
30.44,8,27.84
33.2,8.76,26.2
33.52,7.52,25.56
25.92,7.96,26.8
27.64,6.4,24.28
25.08,6.68,19.08
23.92,8.12,23.08
23.56,8.36,17.2
23.08,6.72,16.16
20.72,6.44,18
24.36,8.48,19.16
21.08,7.6,17.12
21.76,8,15.48
19.68,7.16,19.4
18.88,6.48,19.8
19.08,9.6,18.48
16.52,8.84,15.72
17.72,9.28,15.52
15.96,8.6,13.2
18.88,9.36,16.4
17.84,8.72,14.76
17.6,8.32,12.76
13.56,9.32,13
13.44,7.8,15.12
14.28,7,9.4
13.76,6.32,10.8
15.56,6.32,10.76
14.48,6.52,12.72
12.76,6.52,11.04
11.12,5.4,12.84
10.8,5.8,10.04
12.12,7.28,11.12
11.24,7.92,12
12.56,7.28,12.64
12.24,8.4,13.72
9.04,7.92,11.96
9.4,7.84,6.24
10.44,9.52,7.76
8,9.04,6.76
7.8,8.56,9.08
6.68,8.28,10.56
8.92,6.6,10.6
9.88,7.48,7.52
5.64,6.44,5.8
7.88,7.04,6.88
7.92,7.32,6.4
7.28,5.16,6.68
7,7.68,9.04
7.44,7.16,5.48
7.28,6.28,1.52
6.72,5.76,1.96
7.88,6.12,2.72
6.44,5.6,2.4
5.4,6.36,3.76
6.92,6.76,2.56
5.2,5.68,0.96
5.28,5.48,1.84
6.88,4.56,0.64
4.48,3.68,1.36
4.32,6.72,3
2.96,6.28,2.24
5.72,6.04,2.48
5.88,5.32,3.48
3.72,5.12,4.4
5,6.72,4.24
4,4.84,4.96
3.72,5.36,10.68
3.24,4.48,5.84
3.6,5,6
3.8,6.56,7.48
2.4,7.28,7.32
4.72,6.2,5.76
4.48,6.44,4.12
2.04,6.16,5.24
3.6,6.32,3.4
2.16,5.8,3.36
2.6,4.28,3.84
3.08,5.2,7.56
2.28,6.56,6
2.64,5.8,2.96
2.64,5.6,2.92
2.6,3.36,4.36
2.04,4.24,2.52
3.24,4.88,4.96
3.16,4.04,4.04
3.76,4.24,5.8
1.84,4.2,1.52
2.56,4.04,1.56
2.76,4.44,5.4
46.04,12.28,44.32
44.16,8.96,37.8
42.16,8.8,41.68
41.2,8.6,44.96
40.6,9.96,39.08
37.84,9.04,45.64
37.8,9.28,33.88
29.92,7.72,37.4
33.44,8.44,32.36
32.44,10.36,31.24
30.84,8.32,30.72
34.12,7.76,31.4
28.04,7.12,23.52
27.48,7.44,26.16
27,7.56,22.24
24.4,8.44,20.04
25.88,8.8,24.2
28.84,8.12,22.4
25.16,7.52,19.44
21.92,8.08,18.6
20,8,15.12
21.4,5.88,17.76
20.28,6.72,19.28
21.72,6.4,21.88
20.92,7.12,18.76
19.68,6.8,13.96
19.28,7.12,12
17.2,6.28,13.72
19.4,7.48,20.24
19.16,6.72,15.04
18.32,8.2,12.28
14.76,6.48,11
15.56,5.64,16.88
11.84,7.72,11.84
14.44,6.72,12.36
12.04,6.92,12.44
12.48,6.76,13.16
10.72,6.48,17.44
10.48,6.12,13.4
11.4,5.8,14.36
11.8,6.44,7.88
13.6,5.32,13
10.28,4.68,13.6
11.48,6.88,10.84
7.8,6.08,10.8
10.2,6.12,7.28
11.76,7.24,10.04
12.24,6.8,7.88
10.88,6.76,9.12
9,6.52,12.08
10.4,5.68,10.2
7.84,5.24,7.44
10.72,5.72,7.96
9,5.68,7.56
8.36,5.8,7.08
6.08,5.48,6.84
7.04,5.88,6.36
7.48,5.24,6.4
8.36,5.16,5.96
8.64,6.52,6.52
6.92,4.84,6.16
5.28,4.64,5.92
7.68,6.24,6.8
7.12,5.4,11.28
5.76,5.44,6.72
4,6.44,8.12
7.48,6.72,5
7.92,6.36,5.56
6.76,6.52,7.48
6.08,5,4.6
4.24,6.44,6.48
3.32,7.6,6.2
3.72,5.32,7.6
5.16,5.32,5.24
3.56,5.76,4.24
4.04,5.84,3.96
4,5.64,4.04
3.44,4.44,4.52
4.8,4.2,4.88
3.92,7.08,5.76
